"class","class_id","department","fiscal_year","fund","minor_class","minor_class_id","total"
"Equipment","4","1st Judicial District","2016","General Operating Fund","Other Equipment (noc)","499","520924"
"Personal Services","1","Office of Innovation & Technology","2016","Water Operating Fund","Salary Control","100","58000"
"Personal Services","1","Office of Innovation & Technology","2016","Water Operating Fund","Perm Full Time-civilian","101","6146689"
"Personal Services","1","Office of Innovation & Technology","2016","Water Operating Fund","Overtime Civilian","161","60600"
"Purchase of Services","2","Office of Innovation & Technology","2016","Water Operating Fund","Telephone","209","1348670"
"Purchase of Services","2","Office of Innovation & Technology","2016","Water Operating Fund","Commercial Off-shelf Comp Software","216","2940278"
"Purchase of Services","2","Office of Innovation & Technology","2016","Water Operating Fund","Information Technology-prof Service","251","9359295"
"Purchase of Services","2","Office of Innovation & Technology","2016","Water Operating Fund","Dues","255","4078"
"Purchase of Services","2","Office of Innovation & Technology","2016","Water Operating Fund","Repair and Maintenance Charges","260","64565"
"Purchase of Services","2","Office of Innovation & Technology","2016","Water Operating Fund","Maint/support-computr Hardware/soft","266","661773"
"Purchase of Services","2","Office of Innovation & Technology","2016","Water Operating Fund","Rent/lease-purchase Computer Equip","282","191700"
"Purchase of Services","2","Office of Innovation & Technology","2016","Water Operating Fund","Rents","285","136138"
"Personal Services","1","Water","2016","Water Operating Fund","Overtime Shift Dual Relief","162","26000"
"Materials and Supplies","3","Office of Innovation & Technology","2016","Water Operating Fund","Office Materials and Supplies","320","47000"
"Materials and Supplies","3","Office of Innovation & Technology","2016","Water Operating Fund","Printing","325","169200"
"Equipment","4","Office of Innovation & Technology","2016","Water Operating Fund","Computer Equipment & Peripherals","427","1808950"
"Purchase of Services","2","Public Property","2016","Water Operating Fund","Ground and Building Rental","284","4042633"
"Personal Services","1","Fleet Management","2016","Water Operating Fund","Perm Full Time-civilian","101","2439875"
"Personal Services","1","Fleet Management","2016","Water Operating Fund","Temporary Seasonal","121","40624"
"Personal Services","1","Fleet Management","2016","Water Operating Fund","Overtime Civilian","161","466524"
"Personal Services","1","Fleet Management","2016","Water Operating Fund","Holiday ""g""(2/3 Shifts)","171","11014"
"Personal Services","1","Fleet Management","2016","Water Operating Fund","Shift","181","11280"
"Purchase of Services","2","Fleet Management","2016","Water Operating Fund","Cleaning and Laundering","201","6000"
"Purchase of Services","2","Fleet Management","2016","Water Operating Fund","Janitorial Services","202","56000"
"Purchase of Services","2","Fleet Management","2016","Water Operating Fund","Postage","210","1000"
"Purchase of Services","2","Fleet Management","2016","Water Operating Fund","Transportation","211","1000"
"Purchase of Services","2","Fleet Management","2016","Water Operating Fund","Licenses Permits Inspection Charges","215","10000"
"Purchase of Services","2","Fleet Management","2016","Water Operating Fund","Professional Consult/spec Services","250","30000"
"Purchase of Services","2","Fleet Management","2016","Water Operating Fund","Dues","255","500"
"Purchase of Services","2","Fleet Management","2016","Water Operating Fund","Seminar and Training Sessions","256","3000"
"Purchase of Services","2","Fleet Management","2016","Water Operating Fund","Repair and Maintenance Charges","260","1239500"
"Purchase of Services","2","Fleet Management","2016","Water Operating Fund","Insurance and Official Bonds","280","8000"
"Purchase of Services","2","Fleet Management","2016","Water Operating Fund","Rents","285","10000"
"Purchase of Services","2","Fleet Management","2016","Water Operating Fund","Rental of Parking Spaces","286","124000"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","Books and Other Publications","304","3000"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","Building and Construction","305","40000"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","Chemicals and Gases","307","24000"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","Dry Goods/notions/wearing Apparel","308","7500"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","Electrical and Communication","310","4000"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","General Equipment and Machinery","311","5000"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","Fire Fighting and Safety","312","10000"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","Food","313","500"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","General Hardware and Minor Tools","316","8000"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","Hospital and Laboratory","317","2000"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","Janitorial, Laundry and Household","318","3000"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","Office Materials and Supplies","320","2000"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","Small Power Tools and Hand Tools","322","32000"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","Precision, Photographic and Artists","324","500"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","Printing","325","2000"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","Motor Vehicle Parts and Accessories","328","2042050"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","Lubricants","335","109090"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","#2 Diesel Fuel","340","1050000"
"Materials and Supplies","3","Fleet Management","2016","Water Operating Fund","Gasoline","345","870000"
"Equipment","4","Fleet Management","2016","Water Operating Fund","General Equipment and Machinery","411","30000"
"Equipment","4","Fleet Management","2016","Water Operating Fund","Office Equipment","420","8000"
"Equipment","4","Fleet Management","2016","Water Operating Fund","Plumbing/air Conditioning/space Htg","423","3000"
"Equipment","4","Fleet Management","2016","Water Operating Fund","Computer Equipment & Peripherals","427","12500"
"Equipment","4","Fleet Management","2016","Water Operating Fund","Furniture and Furnishings","430","6500"
"Personal Services","1","Water","2016","Water Operating Fund","Salary Control","100","1367000"
"Personal Services","1","Water","2016","Water Operating Fund","Perm Full Time-civilian","101","85745570"
"Personal Services","1","Water","2016","Water Operating Fund","Perm Part Time","111","30030"
"Personal Services","1","Water","2016","Water Operating Fund","Temporary Seasonal","121","1830500"
"Personal Services","1","Water","2016","Water Operating Fund","Holiday ""g""(2/3 Shifts)","171","531000"
"Personal Services","1","Water","2016","Water Operating Fund","Shift","181","260400"
"Purchase of Services","2","Water","2016","Water Operating Fund","Cleaning and Laundering","201","61000"
"Purchase of Services","2","Water","2016","Water Operating Fund","Janitorial Services","202","108000"
"Purchase of Services","2","Water","2016","Water Operating Fund","Refuse/garbage/silt/sludge Removal","205","3260900"
"Purchase of Services","2","Water","2016","Water Operating Fund","Postage","210","222000"
"Purchase of Services","2","Water","2016","Water Operating Fund","Transportation","211","133200"
"Purchase of Services","2","Water","2016","Water Operating Fund","Licenses Permits Inspection Charges","215","203600"
"Purchase of Services","2","Water","2016","Water Operating Fund","Commercial Off-shelf Comp Software","216","313000"
"Purchase of Services","2","Water","2016","Water Operating Fund","Electric Current-structures/streets","220","27845000"
